id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.8715,1,N/A,N/A,N/A,1,audio delay,1,right,no early,hit,0,0,1.8582,3.0582,3.0582,4.5582,[],[],[],0.5,1.2082,"[3.3315, 3.5051, 3.7132, 3.913, 4.1061]",1.2082,1.8582
1,6.6558,12.6075,2,N/A,N/A,N/A,2,audio delay,1,right,early,hit,0,0,"[8.6661, 9.6175]","[9.6175, 10.8175]",10.8175,12.3175,[],[],[],7.1558,8.0161,"[7.6097, 9.5175, 11.0675, 11.2889, 11.4165, 11.5835]",8.0161,8.6661
2,14.3915,18.4199,3,N/A,N/A,N/A,3,audio delay,1,right,no early,miss,0,0,16.2145,17.4145,17.4145,[],17.9199,[],[],14.8915,15.5645,[],15.5645,16.2145
3,20.2047,25.0371,4,N/A,N/A,N/A,4,audio delay,1,right,no early,ignore,0,0,22.0371,23.2371,23.2371,24.7371,[],[],[],20.7047,21.3871,[],21.3871,22.0371
4,26.823,32.898,5,N/A,N/A,N/A,5,audio delay,1,right,early,hit,0,0,"[28.7541, 29.9658]","[29.9658, 31.1658]",31.1658,32.6658,[],[],[],27.323,28.1041,"[29.8658, 31.358, 31.5623, 31.6793, 31.8549]",28.1041,28.7541
5,34.6849,39.5746,6,N/A,N/A,N/A,6,audio delay,1,right,no early,ignore,0,0,36.5746,37.7746,37.7746,39.2746,[],[],[],35.1849,35.9246,[],35.9246,36.5746
6,41.3627,46.1911,7,N/A,N/A,N/A,7,audio delay,1,right,no early,hit,0,0,43.1774,44.3774,44.3774,45.8774,[],[],[],41.8627,42.5274,"[44.6511, 44.8141, 44.9695, 45.1725]",42.5274,43.1774
7,47.9803,52.7898,8,N/A,N/A,N/A,8,audio delay,1,left,no early,hit,0,0,49.7953,50.9953,50.9953,52.4953,"[51.2498, 51.452]",[],[],48.4803,49.1453,51.6609,49.1453,49.7953
8,54.5791,59.4614,9,N/A,N/A,N/A,9,audio delay,1,left,no early,ignore,0,0,56.4614,57.6614,57.6614,59.1614,[],[],[],55.0791,55.8114,[],55.8114,56.4614
9,61.2505,66.2661,10,N/A,N/A,N/A,10,audio delay,1,left,no early,hit,0,0,63.172,64.372,64.372,65.872,"[64.7261, 64.9296, 65.0858, 65.2677]",[],[],61.7505,62.522,[],62.522,63.172
10,68.0579,73.3069,11,N/A,N/A,N/A,11,audio delay,1,left,no early,hit,0,0,69.9855,71.1855,71.1855,72.6855,"[71.7669, 72.0279, 72.1683, 72.3632, 72.5327]",[],[],68.5579,69.3355,[],69.3355,69.9855
11,75.0989,80.0604,12,N/A,N/A,N/A,12,audio delay,1,left,no early,ignore,0,0,77.0604,78.2604,78.2604,79.7604,[],[],[],75.5989,76.4104,[],76.4104,77.0604
12,81.8526,86.8092,13,N/A,N/A,N/A,13,audio delay,1,left,no early,hit,0,0,83.7299,84.9299,84.9299,86.4299,"[85.2692, 85.4564, 85.6603, 85.8785]",[],[],82.3526,83.0799,[],83.0799,83.7299
13,88.6026,93.5209,14,N/A,N/A,N/A,14,audio delay,1,right,no early,ignore,0,0,90.5209,91.7209,91.7209,93.2209,[],[],[],89.1026,89.8709,[],89.8709,90.5209
14,95.3151,100.2386,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,0,0,97.2099,98.4099,98.4099,99.9099,[],[],[],95.8151,96.5599,"[98.6986, 98.8942, 99.0142, 99.1862, 99.339]",96.5599,97.2099
15,102.0341,107.1722,16,N/A,N/A,N/A,16,audio delay,1,right,no early,hit,0,0,103.9052,105.1052,105.1052,106.6052,[],[],[],102.5341,103.2552,"[105.6322, 105.8259, 105.9639, 106.1404, 106.3124]",103.2552,103.9052
16,108.9678,113.85,17,N/A,N/A,N/A,17,audio delay,1,right,no early,hit,0,0,110.9128,112.1128,112.1128,113.6128,[],[],[],109.4678,110.2628,"[112.31, 112.4893, 112.6247, 112.8316, 112.9978, 113.1739]",110.2628,110.9128
17,115.6467,120.5992,18,N/A,N/A,N/A,18,audio delay,1,right,no early,hit,0,0,117.7061,118.9061,118.9061,120.4061,[],[],[],116.1467,117.0561,"[119.0592, 119.22, 119.3985, 119.5729, 119.7479, 119.9096]",117.0561,117.7061
18,122.3967,127.2372,19,N/A,N/A,N/A,19,audio delay,1,left,no early,ignore,0,0,124.2372,125.4372,125.4372,126.9372,[],[],[],122.8967,123.5872,[],123.5872,124.2372
19,129.9483,134.7678,20,N/A,N/A,N/A,20,audio delay,1,left,no early,ignore,0,0,131.7678,132.9678,132.9678,134.4678,[],[],[],130.4483,131.1178,[],131.1178,131.7678
20,136.5676,141.4883,21,N/A,N/A,N/A,21,audio delay,1,left,no early,ignore,0,0,138.4883,139.6883,139.6883,141.1883,141.3748,[],[],137.0676,137.8383,[],137.8383,138.4883
21,143.2896,148.3438,22,N/A,N/A,N/A,22,audio delay,1,left,no early,ignore,0,0,145.3438,146.5438,146.5438,148.0438,[],[],[],143.7896,144.6938,[],144.6938,145.3438
22,150.1439,155.0862,23,N/A,N/A,N/A,23,audio delay,1,left,no early,ignore,0,0,152.0862,153.2862,153.2862,154.7862,[],[],[],150.6439,151.4362,[],151.4362,152.0862
23,157.412,162.2747,24,N/A,N/A,N/A,24,audio delay,1,left,no early,ignore,1,0,159.2347,160.4347,160.4347,161.9347,[],[],[],157.912,158.5847,[],158.5847,159.2347
24,164.0793,168.9899,25,N/A,N/A,N/A,25,audio delay,1,left,no early,ignore,0,0,165.9899,167.1899,167.1899,168.6899,[],[],[],164.5793,165.3399,[],165.3399,165.9899
25,170.7924,174.9257,26,N/A,N/A,N/A,26,audio delay,1,left,no early,miss,0,0,172.7656,173.9656,173.9656,[],[],[],[],171.2924,172.1156,174.4257,172.1156,172.7656
26,176.7308,180.6991,27,N/A,N/A,N/A,27,audio delay,1,left,no early,miss,0,0,178.6544,179.8544,179.8544,[],[],[],[],177.2308,178.0044,180.1991,178.0044,178.6544
27,182.5045,187.4327,28,N/A,N/A,N/A,28,audio delay,1,left,no early,hit,0,0,184.4148,185.6148,185.6148,187.1148,"[185.8927, 186.4537, 186.6202, 186.7736, 186.9737, 187.1814, 187.3121]",[],[],183.0045,183.7648,186.2727,183.7648,184.4148
28,190.9615,195.8798,29,N/A,N/A,N/A,29,audio delay,1,left,no early,hit,0,0,192.9146,194.1146,194.1146,195.6146,"[194.3398, 194.5598, 194.7564]",[],[],191.4615,192.2646,[],192.2646,192.9146
29,197.6873,203.8697,30,N/A,N/A,N/A,30,audio delay,1,left,no early,hit,0,0,199.633,200.833,200.833,202.333,"[202.3297, 202.5634, 202.7899, 202.946]",[],[],198.1873,198.983,[],198.983,199.633
30,205.6772,210.6033,31,N/A,N/A,N/A,31,audio delay,1,left,no early,hit,0,0,207.6395,208.8395,208.8395,210.3395,"[209.0633, 209.1752, 209.3894, 209.5156, 209.704, 209.8798]",[],[],206.1772,206.9895,[],206.9895,207.6395
31,212.4125,217.5501,32,N/A,N/A,N/A,32,audio delay,1,right,no early,hit,0,0,214.4677,215.6677,215.6677,217.1677,[],[],[],212.9125,213.8177,"[216.0101, 216.1912, 216.3393, 216.5158, 216.7146]",213.8177,214.4677
32,219.3607,224.3964,33,N/A,N/A,N/A,33,audio delay,1,right,no early,hit,0,0,221.3007,222.5007,222.5007,224.0007,[],[],[],219.8607,220.6507,"[222.8564, 223.0527, 223.2546, 223.4588]",220.6507,221.3007
33,226.2072,229.9611,34,N/A,N/A,N/A,34,audio delay,1,right,no early,miss,0,0,228.0497,229.2497,229.2497,[],"[229.4611, 229.7047]",[],[],226.7072,227.3997,[],227.3997,228.0497
34,231.7732,236.6462,35,N/A,N/A,N/A,35,audio delay,1,right,no early,hit,0,0,233.7607,234.9607,234.9607,236.4607,[],[],[],232.2732,233.1107,"[235.1062, 235.3099, 235.4465, 235.611, 235.7862]",233.1107,233.7607
35,238.4593,242.2846,36,N/A,N/A,N/A,36,audio delay,1,right,no early,miss,0,0,240.3442,241.5442,241.5442,[],"[241.7846, 241.996]",[],[],238.9593,239.6942,[],239.6942,240.3442
36,244.0982,248.3198,37,N/A,N/A,N/A,37,audio delay,1,right,no early,miss,0,0,246.0237,247.2237,247.2237,[],"[247.8198, 247.9824]",[],[],244.5982,245.3737,"[244.6999, 248.1978]",245.3737,246.0237
37,250.1348,255.1772,38,N/A,N/A,N/A,38,audio delay,1,right,no early,ignore,0,0,252.1772,253.3772,253.3772,254.8772,[],[],[],250.6348,251.5272,[],251.5272,252.1772
38,256.9916,261.8181,39,N/A,N/A,N/A,39,audio delay,1,right,no early,ignore,0,0,258.8181,260.0181,260.0181,261.5181,[],[],[],257.4916,258.1681,[],258.1681,258.8181
39,263.6355,268.6757,40,N/A,N/A,N/A,40,audio delay,1,right,no early,hit,0,0,265.6596,266.8596,266.8596,268.3596,[],[],[],264.1355,265.0096,"[267.1357, 267.294, 267.4423, 267.5876, 267.779]",265.0096,265.6596
40,270.4927,275.5277,41,N/A,N/A,N/A,41,audio delay,1,left,no early,ignore,0,0,272.5277,273.7277,273.7277,275.2277,[],[],[],270.9927,271.8777,[],271.8777,272.5277
41,277.3455,283.5203,42,N/A,N/A,N/A,42,audio delay,1,left,early,ignore,0,0,"[279.3701, 280.3378, 280.5203]","[280.3378, 280.5203, 281.7203]",281.7203,283.2203,"[280.2378, 280.3082, 280.4203]",[],[],277.8455,278.7201,[],278.7201,279.3701
42,285.3401,290.3433,43,N/A,N/A,N/A,43,audio delay,1,left,no early,hit,0,0,287.2536,288.4536,288.4536,289.9536,"[288.8033, 288.963, 289.1308, 289.3053]",[],[],285.8401,286.6036,[],286.6036,287.2536
43,292.1621,297.0213,44,N/A,N/A,N/A,44,audio delay,1,left,no early,hit,0,0,293.9955,295.1955,295.1955,296.6955,"[295.4763, 295.6662, 295.8095, 295.9724]",[],[],292.6621,293.3455,[],293.3455,293.9955
44,298.8415,303.8357,45,N/A,N/A,N/A,45,audio delay,1,left,no early,hit,0,0,300.8361,302.0361,302.0361,303.5361,"[302.2907, 302.4112, 302.6373, 302.7942, 302.9541]",[],[],299.3415,300.1861,[],300.1861,300.8361
45,305.6563,310.4963,46,N/A,N/A,N/A,46,audio delay,1,left,no early,hit,0,0,307.559,308.759,308.759,310.259,"[308.9513, 309.1575, 309.346, 309.5188]",[],[],306.1563,306.909,[],306.909,307.559
46,312.3184,317.2623,47,N/A,N/A,N/A,47,audio delay,1,right,no early,hit,0,0,314.2487,315.4487,315.4487,316.9487,[],[],[],312.8184,313.5987,"[315.7173, 315.8871, 316.035, 316.2061, 316.3818]",313.5987,314.2487
47,319.0854,323.9661,48,N/A,N/A,N/A,48,audio delay,1,right,no early,ignore,0,0,320.9661,322.1661,322.1661,323.6661,[],[],[],319.5854,320.3161,[],320.3161,320.9661
48,327.035,331.8962,49,N/A,N/A,N/A,49,audio delay,1,right,no early,ignore,0,0,328.8962,330.0962,330.0962,331.5962,[],[],[],327.535,328.2462,[],328.2462,328.8962
49,333.7213,337.6062,50,N/A,N/A,N/A,50,audio delay,1,right,no early,miss,0,0,335.6316,336.8316,336.8316,[],"[337.1062, 337.1532, 337.265]",[],[],334.2213,334.9816,[],334.9816,335.6316
