id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,5.5645,1,N/A,N/A,N/A,1,audio delay,1,right,early,hit,0,0,2.5804,3.7804,3.7804,5.2804,[],[],[],0.5,1.4008,"[1.8304, 4.0245, 4.1445, 4.3242, 4.467, 4.6163]","[1.4008, 1.9304]","[2.0508, 2.5804]"
1,7.3519,12.4941,2,N/A,N/A,N/A,2,audio delay,1,right,no early,hit,0,0,9.3581,10.5581,10.5581,12.0581,[],[],[],7.8519,8.7081,"[10.9541, 11.111, 11.2714, 11.4249, 11.5791]",8.7081,9.3581
2,14.279,19.2675,3,N/A,N/A,N/A,3,audio delay,1,right,no early,hit,0,0,16.2673,17.4673,17.4673,18.9673,[],[],[],14.779,15.6173,"[17.7275, 17.883, 18.0308, 18.1679, 18.326]",15.6173,16.2673
3,21.0528,25.7785,4,N/A,N/A,N/A,4,audio delay,1,right,no early,hit,0,0,22.9598,24.1598,24.1598,25.6598,[],[],[],21.5528,22.3098,"[24.2385, 24.4389, 24.5635, 24.7118, 24.8836]",22.3098,22.9598
4,27.5652,32.5505,5,N/A,N/A,N/A,5,audio delay,1,left,no early,hit,0,0,29.5378,30.7378,30.7378,32.2378,"[31.0105, 31.1925, 31.3364, 31.5493, 31.7006]",[],[],28.0652,28.8878,[],28.8878,29.5378
5,34.337,39.2808,6,N/A,N/A,N/A,6,audio delay,1,left,no early,hit,0,0,36.2499,37.4499,37.4499,38.9499,"[37.7408, 37.9225, 38.0837, 38.2365, 38.4019]",[],[],34.837,35.5999,[],35.5999,36.2499
6,41.0678,46.026,7,N/A,N/A,N/A,7,audio delay,1,left,no early,hit,0,0,42.9464,44.1464,44.1464,45.6464,"[44.486, 44.6599, 44.8103, 44.9766, 45.152]",[],[],41.5678,42.2964,[],42.2964,42.9464
7,47.8147,53.8171,8,N/A,N/A,N/A,8,audio delay,1,left,early,hit,0,0,"[49.634, 50.6845]","[50.6845, 51.8845]",51.8845,53.3845,"[50.5845, 52.2771, 52.4774, 52.6806]",[],[],48.3147,48.984,[],48.984,49.634
8,55.6054,60.6083,9,N/A,N/A,N/A,9,audio delay,1,right,no early,hit,0,0,57.6498,58.8498,58.8498,60.3498,[],[],[],56.1054,56.9998,"[59.0683, 59.221, 59.3643, 59.5094, 59.6906]",56.9998,57.6498
9,62.3974,67.2772,10,N/A,N/A,N/A,10,audio delay,1,right,no early,hit,0,0,64.4045,65.6045,65.6045,67.1045,[],[],[],62.8974,63.7545,"[65.7372, 65.8908, 66.0252, 66.1887, 66.3398]",63.7545,64.4045
10,69.0676,74.2397,11,N/A,N/A,N/A,11,audio delay,1,right,no early,hit,0,0,71.0754,72.2754,72.2754,73.7754,[],[],[],69.5676,70.4254,"[72.6997, 72.9087, 73.0557, 73.2206, 73.3597, 73.5199]",70.4254,71.0754
11,76.0312,80.0367,12,N/A,N/A,N/A,12,audio delay,1,right,no early,miss,0,0,77.9591,79.1591,79.1591,[],"[79.5367, 79.7136]",[],[],76.5312,77.3091,[],77.3091,77.9591
12,81.8295,85.7443,13,N/A,N/A,N/A,13,audio delay,1,right,no early,miss,0,0,83.6954,84.8954,84.8954,[],"[85.2443, 85.4361]",[],[],82.3295,83.0454,[],83.0454,83.6954
13,87.5376,92.559,14,N/A,N/A,N/A,14,audio delay,1,right,no early,hit,0,0,89.4838,90.6838,90.6838,92.1838,[],[],[],88.0376,88.8338,"[91.019, 91.1738, 91.3183, 91.4843]",88.8338,89.4838
14,94.3532,99.3769,15,N/A,N/A,N/A,15,audio delay,1,left,no early,ignore,0,0,96.3769,97.5769,97.5769,99.0769,[],[],[],94.8532,95.7269,[],95.7269,96.3769
15,101.1715,106.2353,16,N/A,N/A,N/A,16,audio delay,1,left,no early,hit,0,0,103.1385,104.3385,104.3385,105.8385,"[104.6953, 104.8731, 105.0237, 105.1832]",[],[],101.6715,102.4885,[],102.4885,103.1385
16,108.0313,112.0066,17,N/A,N/A,N/A,17,audio delay,1,left,no early,miss,0,0,110.0001,111.2001,111.2001,[],[],[],[],108.5313,109.3501,"[111.5066, 111.6671]",109.3501,110.0001
17,113.8039,118.761,18,N/A,N/A,N/A,18,audio delay,1,left,no early,hit,0,0,115.6807,116.8807,116.8807,118.3807,"[117.221, 117.4032, 117.5601, 117.7224]",[],[],114.3039,115.0307,[],115.0307,115.6807
18,120.5587,124.4788,19,N/A,N/A,N/A,19,audio delay,1,left,no early,miss,0,0,122.5671,123.7671,123.7671,[],[],[],[],121.0587,121.9171,123.9788,121.9171,122.5671
19,126.2785,131.3577,20,N/A,N/A,N/A,20,audio delay,1,left,no early,hit,0,0,128.231,129.431,129.431,130.931,"[129.8177, 129.9388, 130.1172, 130.2788, 130.4441]",[],[],126.7785,127.581,[],127.581,128.231
20,133.1566,138.2439,21,N/A,N/A,N/A,21,audio delay,1,left,no early,hit,0,0,135.1193,136.3193,136.3193,137.8193,"[136.7039, 136.875, 137.0158, 137.1851]",[],[],133.6566,134.4693,[],134.4693,135.1193
21,140.0441,145.008,22,N/A,N/A,N/A,22,audio delay,1,right,no early,hit,0,0,142.0026,143.2026,143.2026,144.7026,[],[],[],140.5441,141.3526,"[143.468, 143.617, 143.7639, 143.9127, 144.0644]",141.3526,142.0026
22,146.8094,151.6144,23,N/A,N/A,N/A,23,audio delay,1,right,no early,hit,0,0,148.6756,149.8756,149.8756,151.3756,[],[],[],147.3094,148.0256,"[150.0744, 150.2309, 150.3605, 150.5178]",148.0256,148.6756
23,153.4174,158.4046,24,N/A,N/A,N/A,24,audio delay,1,right,no early,ignore,0,0,155.4046,156.6046,156.6046,158.1046,[],[],[],153.9174,154.7546,[],154.7546,155.4046
24,160.8293,165.6403,25,N/A,N/A,N/A,25,audio delay,1,right,no early,ignore,0,0,162.6403,163.8403,163.8403,165.3403,[],[],[],161.3293,161.9903,[],161.9903,162.6403
25,167.4444,172.5031,26,N/A,N/A,N/A,26,audio delay,1,right,no early,hit,0,0,169.4431,170.6431,170.6431,172.1431,[],[],[],167.9444,168.7931,"[170.9631, 171.1003, 171.2643, 171.3857, 171.542, 171.7]",168.7931,169.4431
26,174.3075,179.3608,27,N/A,N/A,N/A,27,audio delay,1,right,no early,hit,0,0,176.331,177.531,177.531,179.031,[],[],[],174.8075,175.681,"[177.8208, 177.9812, 178.1126, 178.2586, 178.4236]",175.681,176.331
27,181.1659,186.1248,28,N/A,N/A,N/A,28,audio delay,1,left,no early,ignore,0,0,183.1248,184.3248,184.3248,185.8248,[],[],[],181.6659,182.4748,[],182.4748,183.1248
