id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,3.9185,1,N/A,N/A,N/A,1,audio delay,1,left,no early,miss,0,0,1.9705,3.1705,3.1705,[],[],[],[],0.5,1.3205,"[3.4185, 3.6217]",1.3205,1.9705
1,5.7031,10.8135,2,N/A,N/A,N/A,2,audio delay,1,left,early,hit,0,0,"[7.7201, 7.8675]","[7.8675, 9.0675]",9.0675,10.5675,"[7.7675, 9.2735, 9.4471, 9.5361, 9.6565, 9.8217]",[],[],6.2031,7.0701,[],7.0701,7.7201
2,12.598,17.6406,3,N/A,N/A,N/A,3,audio delay,1,left,no early,hit,0,0,14.5428,15.7428,15.7428,17.2428,"[16.1006, 16.2754, 16.4213, 16.5999]",[],[],13.098,13.8928,[],13.8928,14.5428
3,19.4266,25.2497,4,N/A,N/A,N/A,4,audio delay,1,left,early,hit,0,0,22.2992,23.4992,23.4992,24.9992,"[21.5492, 23.7097, 23.8704, 24.0164, 24.1843, 24.3515, 24.6863]",[],[],19.9266,20.8127,21.1565,"[20.8127, 21.2565, 21.6492]","[21.4627, 21.9065, 22.2992]"
4,27.0364,30.7324,5,N/A,N/A,N/A,5,audio delay,1,right,no early,miss,0,0,28.8592,30.0592,30.0592,[],"[30.2324, 30.4152]",[],[],27.5364,28.2092,30.7238,28.2092,28.8592
5,32.5201,37.6201,6,N/A,N/A,N/A,6,audio delay,1,right,no early,hit,0,0,34.5138,35.7138,35.7138,37.2138,[],[],[],33.0201,33.8638,"[36.0801, 36.2503, 36.4306, 36.5962, 36.7449, 36.8812, 37.0255]",33.8638,34.5138
6,39.409,44.5425,7,N/A,N/A,N/A,7,audio delay,1,right,no early,hit,0,0,41.4101,42.6101,42.6101,44.1101,[],[],[],39.909,40.7601,"[43.0025, 43.1893, 43.3622, 43.52, 43.6816, 43.8231, 43.9738]",40.7601,41.4101
7,46.332,51.3369,8,N/A,N/A,N/A,8,audio delay,1,right,no early,hit,0,0,48.3782,49.5782,49.5782,51.0782,[],[],[],46.832,47.7282,"[49.7969, 49.9414, 50.1304, 50.2952, 50.4445, 50.5813, 50.728, 50.871]",47.7282,48.3782
8,53.1257,56.9543,9,N/A,N/A,N/A,9,audio delay,1,left,no early,miss,0,0,55.0417,56.2417,56.2417,[],[],[],[],53.6257,54.3917,"[56.4543, 56.6259]",54.3917,55.0417
9,58.9186,63.7014,10,N/A,N/A,N/A,10,audio delay,1,left,no early,hit,0,0,60.7643,61.9643,61.9643,63.4643,"[62.1614, 62.2635, 62.4387, 62.5939, 62.7645, 62.9531]",[],[],59.4186,60.1143,[],60.1143,60.7643
10,65.493,69.4065,11,N/A,N/A,N/A,11,audio delay,1,left,no early,miss,0,0,67.4937,68.6937,68.6937,[],"[69.1037, 69.2867]",[],[],65.993,66.8437,68.9065,66.8437,67.4937
11,71.2005,76.4158,12,N/A,N/A,N/A,12,audio delay,1,left,early,hit,0,0,73.4918,74.6918,74.6918,76.1918,"[72.1517, 72.7418, 74.8758, 74.9911, 75.1514, 75.3016, 75.475, 75.8127, 75.9923]",[],[],71.7005,72.5572,[],"[72.5572, 72.8418]","[73.2072, 73.4918]"
12,78.2092,83.741,13,N/A,N/A,N/A,13,audio delay,1,left,early,hit,0,0,80.5541,81.7541,81.7541,83.2541,"[79.6501, 79.7019, 79.8041, 82.201, 82.3167, 82.4964, 82.6704, 82.8376]",[],[],78.7092,79.4719,[],"[79.4719, 79.7501, 79.9041]","[80.1219, 80.4001, 80.5541]"
13,85.5347,90.4426,14,N/A,N/A,N/A,14,audio delay,1,right,no early,hit,0,0,87.4108,88.6108,88.6108,90.1108,[],[],[],86.0347,86.7608,"[88.9026, 89.0715, 89.2543, 89.4041, 89.568, 89.7307, 89.8736, 90.2043]",86.7608,87.4108
14,92.237,97.2145,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,0,0,94.1188,95.3188,95.3188,96.8188,[],[],[],92.737,93.4688,"[95.6745, 95.8504, 96.0143, 96.1603, 96.4781, 96.6312]",93.4688,94.1188
15,99.0099,104.1087,16,N/A,N/A,N/A,16,audio delay,1,right,no early,hit,0,0,101.0371,102.2371,102.2371,103.7371,[],[],[],99.5099,100.3871,"[102.5687, 102.7523, 102.9319, 103.1144, 103.2743, 103.4231, 103.5534]",100.3871,101.0371
16,105.9064,109.8298,17,N/A,N/A,N/A,17,audio delay,1,left,no early,miss,0,0,107.8128,109.0128,109.0128,[],109.4859,[],[],106.4064,107.1628,109.3298,107.1628,107.8128
17,111.6267,116.5134,18,N/A,N/A,N/A,18,audio delay,1,left,no early,hit,0,0,113.531,114.731,114.731,116.231,"[114.9734, 115.0963, 115.2618, 115.4252, 115.5994]",[],[],112.1267,112.881,[],112.881,113.531
18,118.3109,123.0508,19,N/A,N/A,N/A,19,audio delay,1,left,no early,hit,0,0,120.1724,121.3724,121.3724,122.8724,"[121.5108, 121.6971, 121.8264, 121.9973, 122.2076]",[],[],118.8109,119.5224,[],119.5224,120.1724
19,124.8493,128.665,20,N/A,N/A,N/A,20,audio delay,1,right,no early,miss,0,0,126.757,127.957,127.957,[],"[128.165, 128.3334]",[],[],125.3493,126.107,[],126.107,126.757
20,131.5966,136.5799,21,N/A,N/A,N/A,21,audio delay,1,right,no early,hit,0,0,133.5086,134.7086,134.7086,136.2086,[],[],[],132.0966,132.8586,"[135.0399, 135.2061, 135.393, 135.5487, 135.7261, 135.8687, 136.027]",132.8586,133.5086
21,138.3805,143.315,22,N/A,N/A,N/A,22,audio delay,1,right,no early,hit,0,0,140.34,141.54,141.54,143.04,[],[],[],138.8805,139.69,"[141.775, 141.9251, 142.1014, 142.2686, 142.4053, 142.5426, 142.6812]",139.69,140.34
22,145.1163,149.9967,23,N/A,N/A,N/A,23,audio delay,1,left,no early,hit,0,0,147.1234,148.3234,148.3234,149.8234,"[148.4567, 148.6328, 148.8083, 148.951, 149.1355]",[],[],145.6163,146.4734,[],146.4734,147.1234
23,151.8,156.6653,24,1.889,5.500,0.5000,24,audio delay,1,right,no early,hit,0,0,153.6891,154.8891,154.8891,156.3891,[],153.689,154.189,152.3,153.0391,"[155.1253, 155.2697, 155.4642, 155.6208, 155.7743, 155.9164, 156.0707]",153.0391,153.6891
24,158.4673,163.333,25,N/A,N/A,N/A,25,audio delay,1,left,no early,hit,0,0,160.4723,161.6723,161.6723,163.1723,"[161.793, 161.932, 162.0982, 162.2476, 162.4619]",[],[],158.9673,159.8223,[],159.8223,160.4723
25,165.1368,168.8427,26,1.875,5.500,0.5000,26,audio delay,1,right,no early,miss,0,0,167.0118,168.2118,168.2118,[],"[168.3427, 168.495]",167.0118,167.5118,165.6368,166.3618,168.7032,166.3618,167.0118
26,170.7116,175.7064,27,1.945,5.500,0.5000,27,audio delay,1,right,no early,hit,0,0,172.6567,173.8567,173.8567,175.3567,[],172.6566,173.1566,171.2116,172.0067,"[174.1664, 174.3697, 174.5233, 174.6757, 174.8615, 175.0338, 175.1848]",172.0067,172.6567
27,177.5119,182.2332,28,N/A,N/A,N/A,28,audio delay,1,left,no early,hit,0,0,179.352,180.552,180.552,182.052,"[180.6932, 180.8482, 181.0177, 181.1769, 181.3442, 181.5343]",[],[],178.0119,178.702,[],178.702,179.352
28,184.0405,188.9318,29,N/A,N/A,N/A,29,audio delay,1,right,no early,hit,0,0,186.0241,187.2241,187.2241,188.7241,[],[],[],184.5405,185.3741,"[187.3918, 187.5627, 187.707, 187.868, 188.0225, 188.1721, 188.3201, 188.4714]",185.3741,186.0241
29,190.7408,195.676,30,1.876,5.500,0.5000,30,audio delay,1,right,no early,hit,0,0,192.6163,193.8163,193.8163,195.3163,[],192.6168,193.1168,191.2408,191.9663,"[194.136, 194.289, 194.4784, 194.6494, 194.804, 194.96, 195.0986, 195.2488]",191.9663,192.6163
30,197.4857,202.2986,31,1.919,5.500,0.5000,31,audio delay,1,left,no early,hit,0,0,199.4047,200.6047,200.6047,202.1047,"[200.7586, 200.9301, 201.06, 201.2397, 201.2782, 201.4635, 201.6166, 201.6603]",199.4047,199.9047,197.9857,198.7547,[],198.7547,199.4047
31,204.1081,209.0265,32,N/A,N/A,N/A,32,audio delay,1,left,no early,hit,0,0,206.126,207.326,207.326,208.826,"[207.4865, 207.6656, 207.7956, 207.9651, 208.1301]",[],[],204.6081,205.476,[],205.476,206.126
32,210.8366,215.7844,33,N/A,N/A,N/A,33,audio delay,1,right,no early,miss,0,0,212.8,214.0,214.0,215.5,215.2844,[],[],211.3366,212.15,[],212.15,212.8
33,217.5956,222.3602,34,N/A,N/A,N/A,34,audio delay,1,left,no early,hit,0,0,219.4283,220.6283,220.6283,222.1283,"[220.8202, 220.9838, 221.1499, 221.3073, 221.476, 221.6843, 221.8332, 222.0071]",[],[],218.0956,218.7783,[],218.7783,219.4283
34,224.1725,228.8854,35,N/A,N/A,N/A,35,audio delay,1,right,no early,hit,0,0,225.9877,227.1877,227.1877,228.6877,[],[],[],224.6725,225.3377,"[227.3454, 227.4706, 227.6631, 227.8194, 227.9772, 228.1334, 228.2761]",225.3377,225.9877
35,230.6981,236.2264,36,N/A,N/A,N/A,36,audio delay,1,left,early,hit,0,0,233.3616,234.5616,234.5616,236.0616,"[232.482, 232.6116, 234.6864, 234.8293, 234.9432, 235.12]",[],[],231.1981,231.8764,[],"[231.8764, 232.582, 232.7116]","[232.5264, 233.232, 233.3616]"
36,238.0405,243.1532,37,N/A,N/A,N/A,37,audio delay,1,right,no early,hit,0,0,240.0521,241.2521,241.2521,242.7521,[],[],[],238.5405,239.4021,"[241.6132, 241.8096, 241.9629, 242.1429, 242.3083, 242.4573, 242.599]",239.4021,240.0521
37,244.9682,249.7504,38,1.936,5.500,0.5000,38,audio delay,1,left,no early,hit,0,0,246.9045,248.1045,248.1045,249.6045,"[248.2104, 248.3339, 248.446, 248.6245, 248.7879]",246.9042,247.4042,245.4682,246.2545,[],246.2545,246.9045
38,251.5651,256.4792,39,N/A,N/A,N/A,39,audio delay,1,right,no early,hit,0,0,253.5803,254.7803,254.7803,256.2803,[],[],[],252.0651,252.9303,"[254.9392, 255.1034, 255.2675, 255.4246, 255.5919, 255.7424, 255.8981]",252.9303,253.5803
