id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.2505,1,N/A,N/A,N/A,1,audio delay,1,left,no early,miss,0,0,2.0469,3.2469,3.2469,[],[],[],[],0.5,1.3969,3.7505,1.3969,2.0469
1,6.0362,11.0627,2,N/A,N/A,N/A,2,audio delay,1,left,no early,hit,0,0,7.9057,9.1057,9.1057,10.6057,"[9.5227, 9.7149, 9.8981, 10.0763, 10.2694, 10.4808, 10.6548]",[],[],6.5362,7.2557,[],7.2557,7.9057
2,14.4301,19.7931,3,N/A,N/A,N/A,3,audio delay,1,left,early,hit,0,0,16.9472,18.1472,18.1472,19.6472,"[16.1972, 18.2531, 18.3861, 18.5678, 18.7463, 18.9408, 19.1991, 19.3472]",[],[],14.9301,15.8211,[],"[15.8211, 16.2972]","[16.4711, 16.9472]"
3,21.688,26.0036,4,N/A,N/A,N/A,4,audio delay,1,left,early,miss,0,0,24.1289,25.3289,25.3289,[],"[23.1434, 23.3789]",[],[],22.188,23.0483,"[22.1132, 22.3215, 22.5577, 25.5036, 25.7631, 25.9148]","[23.0483, 23.2434, 23.4789]","[23.6983, 23.8934, 24.1289]"
4,27.79,34.1852,5,N/A,N/A,N/A,5,audio delay,1,left,early,hit,0,0,"[30.7007, 31.3261]","[31.3261, 32.5261]",32.5261,34.0261,"[29.7056, 29.9507, 29.9707, 31.2261, 32.6452, 32.7305, 32.8513, 33.0172, 33.1879, 33.3708]",[],[],28.29,29.1176,[],"[29.1176, 29.8056, 30.0507]","[29.7676, 30.4556, 30.7007]"
5,35.9736,40.9318,6,N/A,N/A,N/A,6,audio delay,1,right,no early,hit,0,0,37.8818,39.0818,39.0818,40.5818,[],[],[],36.4736,37.2318,"[39.3918, 39.6117, 39.7933, 39.9545, 40.1213, 40.2851, 40.4695]",37.2318,37.8818
6,42.7195,47.9391,7,N/A,N/A,N/A,7,audio delay,1,right,early,hit,0,0,45.0527,46.2527,46.2527,47.7527,[],[],[],43.2195,44.0719,"[44.3027, 46.3991, 46.5293, 46.7239, 46.8997, 47.0729, 47.2337, 47.3846, 47.5766]","[44.0719, 44.4027]","[44.7219, 45.0527]"
7,49.7285,54.5046,8,N/A,N/A,N/A,8,audio delay,1,right,no early,hit,0,0,51.5439,52.7439,52.7439,54.2439,[],[],[],50.2285,50.8939,"[52.9646, 53.0972, 53.2797, 53.4477, 53.6068, 53.7809, 53.9694, 54.1196]",50.8939,51.5439
8,56.2941,60.5931,9,N/A,N/A,N/A,9,audio delay,1,left,early,miss,0,0,58.6197,59.8197,59.8197,[],[],[],[],56.7941,57.4608,"[57.7075, 57.8697, 60.0931, 60.2336]","[57.4608, 57.8075, 57.9697]","[58.1108, 58.4575, 58.6197]"
9,62.3848,67.201,10,N/A,N/A,N/A,10,audio delay,1,left,no early,ignore,0,0,64.201,65.401,65.401,66.901,[],[],[],62.8848,63.551,[],63.551,64.201
10,68.9933,74.2344,11,N/A,N/A,N/A,11,audio delay,1,left,early,hit,0,0,71.3528,72.5528,72.5528,74.0528,"[70.6028, 72.6944, 72.7804, 72.8833, 73.0608, 73.2441, 73.4016, 73.6117]",[],[],69.4933,70.3636,[],"[70.3636, 70.7028]","[71.0136, 71.3528]"
11,76.0267,80.8488,12,N/A,N/A,N/A,12,audio delay,1,left,no early,hit,0,0,77.9852,79.1852,79.1852,80.6852,"[79.3088, 79.4191, 79.5521, 79.7029, 79.8783]",[],[],76.5267,77.3352,[],77.3352,77.9852
12,82.6415,87.5127,13,N/A,N/A,N/A,13,audio delay,1,left,no early,hit,0,0,84.6032,85.8032,85.8032,87.3032,"[85.9727, 86.1483, 86.2936, 86.4366, 86.6002]",[],[],83.1415,83.9532,[],83.9532,84.6032
13,89.3057,94.1834,14,N/A,N/A,N/A,14,audio delay,1,right,no early,hit,0,0,91.2788,92.4788,92.4788,93.9788,[],[],[],89.8057,90.6288,"[92.6434, 92.772, 92.9688, 93.1242, 93.2884, 93.4667, 93.6504]",90.6288,91.2788
14,95.9794,100.9247,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,0,0,97.864,99.064,99.064,100.564,[],[],[],96.4794,97.214,"[99.3847, 99.5706, 99.7343, 99.904, 100.0586, 100.233]",97.214,97.864
15,102.7204,107.5046,16,N/A,N/A,N/A,16,audio delay,1,right,no early,hit,0,0,104.6344,105.8344,105.8344,107.3344,[],[],[],103.2204,103.9844,"[105.9646, 106.0894, 106.2622, 106.42, 106.58, 106.7311, 106.903]",103.9844,104.6344
16,109.3004,113.047,17,N/A,N/A,N/A,17,audio delay,1,left,no early,miss,0,0,111.1309,112.3309,112.3309,[],[],[],[],109.8004,110.4809,"[112.547, 112.6785]",110.4809,111.1309
17,114.844,118.7108,18,N/A,N/A,N/A,18,audio delay,1,left,no early,miss,0,0,116.6765,117.8765,117.8765,[],[],[],[],115.344,116.0265,118.2108,116.0265,116.6765
18,120.509,124.451,19,N/A,N/A,N/A,19,audio delay,1,left,no early,miss,0,0,122.4825,123.6825,123.6825,[],[],[],[],121.009,121.8325,"[123.951, 124.1076]",121.8325,122.4825
19,126.2498,130.0,20,N/A,N/A,N/A,20,audio delay,1,left,no early,miss,0,0,128.1103,129.3103,129.3103,[],"[129.7061, 129.8996]",[],[],126.7498,127.4603,"[126.3432, 129.5]",127.4603,128.1103
20,131.7991,136.6359,21,N/A,N/A,N/A,21,audio delay,1,left,no early,hit,0,0,133.7625,134.9625,134.9625,136.4625,"[135.0959, 135.2249, 135.3874, 135.5442, 135.7239, 135.9053]",[],[],132.2991,133.1125,[],133.1125,133.7625
21,138.4365,143.2971,22,N/A,N/A,N/A,22,audio delay,1,left,no early,hit,0,0,140.414,141.614,141.614,143.114,"[141.7571, 141.9292, 142.0747, 142.2247, 142.3935]",[],[],138.9365,139.764,[],139.764,140.414
22,145.0993,150.1874,23,N/A,N/A,N/A,23,audio delay,1,left,no early,hit,0,0,147.0852,148.2852,148.2852,149.7852,"[148.6474, 148.8579, 148.9997, 149.1572, 149.3248]",[],[],145.5993,146.4352,[],146.4352,147.0852
23,151.9911,156.793,24,N/A,N/A,N/A,24,audio delay,1,right,no early,hit,0,0,153.8703,155.0703,155.0703,156.5703,[],[],[],152.4911,153.2203,"[155.253, 155.3948, 155.5643, 155.723, 155.9069, 156.0611, 156.2121, 156.3799, 156.5392]",153.2203,153.8703
24,158.5962,163.4442,25,N/A,N/A,N/A,25,audio delay,1,right,no early,hit,0,0,160.4293,161.6293,161.6293,163.1293,[],[],[],159.0962,159.7793,"[161.9042, 162.069, 162.2581, 162.4153, 162.5618, 162.7223]",159.7793,160.4293
25,165.2485,170.0193,26,N/A,N/A,N/A,26,audio delay,1,right,no early,hit,0,0,167.0883,168.2883,168.2883,169.7883,[],[],[],165.7485,166.4383,"[168.4793, 168.6246, 168.7936, 168.9481, 169.1145, 169.4558, 169.6161]",166.4383,167.0883
26,171.8256,175.7617,27,N/A,N/A,N/A,27,audio delay,1,left,no early,miss,0,0,173.7561,174.9561,174.9561,[],[],[],[],172.3256,173.1061,175.2617,173.1061,173.7561
27,177.568,182.3797,28,N/A,N/A,N/A,28,audio delay,1,left,no early,hit,0,0,179.4952,180.6952,180.6952,182.1952,"[180.8397, 180.9311, 181.0315, 181.2212, 181.3526, 181.5289]",[],[],178.068,178.8452,[],178.8452,179.4952
28,184.1876,189.0305,29,N/A,N/A,N/A,29,audio delay,1,left,no early,hit,0,0,186.152,187.352,187.352,188.852,"[187.4905, 187.5925, 187.7551, 187.941, 188.0861]",[],[],184.6876,185.502,[],185.502,186.152
29,190.8386,195.8828,30,N/A,N/A,N/A,30,audio delay,1,right,no early,hit,0,0,192.7693,193.9693,193.9693,195.4693,[],[],[],191.3386,192.1193,"[194.3428, 194.5238, 194.7107, 194.8698, 195.04, 195.206]",192.1193,192.7693
30,197.6911,202.5338,31,N/A,N/A,N/A,31,audio delay,1,right,no early,hit,0,0,199.5085,200.7085,200.7085,202.2085,[],[],[],198.1911,198.8585,"[200.9938, 201.1593, 201.344, 201.5122, 201.6657, 201.8289, 202.1687]",198.8585,199.5085
31,204.343,209.0865,32,N/A,N/A,N/A,32,audio delay,1,left,no early,hit,0,0,206.1617,207.3617,207.3617,208.8617,"[207.5465, 207.7114, 207.8991, 208.0273, 208.2063]",[],[],204.843,205.5117,[],205.5117,206.1617
32,210.8961,215.5697,33,N/A,N/A,N/A,33,audio delay,1,right,no early,hit,0,0,212.7176,213.9176,213.9176,215.4176,[],[],[],211.3961,212.0676,"[214.0297, 214.1749, 214.3651, 214.5633, 214.7479, 214.8971, 215.0569]",212.0676,212.7176
33,217.381,222.2446,34,1.958,5.500,0.5000,34,audio delay,1,left,no early,hit,0,0,219.3388,220.5388,220.5388,222.0388,"[220.7046, 220.8976, 221.0576, 221.2155, 221.2438, 221.4005]",219.339,219.839,217.881,218.6888,[],218.6888,219.3388
34,224.0564,228.978,35,N/A,N/A,N/A,35,audio delay,1,left,no early,hit,0,0,226.0771,227.2771,227.2771,228.7771,"[227.438, 227.6498, 227.8455, 227.9714, 228.129]",[],[],224.5564,225.4271,[],225.4271,226.0771
35,230.7907,235.5607,36,N/A,N/A,N/A,36,audio delay,1,left,no early,hit,0,0,232.6679,233.8679,233.8679,235.3679,"[234.0207, 234.2016, 234.3464, 234.5102, 234.711]",[],[],231.2907,232.0179,[],232.0179,232.6679
36,237.3749,241.2452,37,1.984,5.500,0.5000,37,audio delay,1,right,no early,miss,0,0,239.3592,240.5592,240.5592,[],"[240.7452, 240.8802]",239.3589,239.8589,237.8749,238.7092,[],238.7092,239.3592
37,243.0602,248.0436,38,N/A,N/A,N/A,38,audio delay,1,right,no early,hit,0,0,244.9627,246.1627,246.1627,247.6627,[],[],[],243.5602,244.3127,"[246.5036, 246.6782, 246.8658, 247.0343, 247.1905, 247.3545, 247.5116]",244.3127,244.9627
38,249.8595,254.8363,39,N/A,N/A,N/A,39,audio delay,1,right,no early,hit,0,0,251.7402,252.9402,252.9402,254.4402,[],[],[],250.3595,251.0902,"[253.2963, 253.4717, 253.6831, 253.839, 254.0056, 254.1577, 254.311]",251.0902,251.7402
39,256.6525,260.3814,40,N/A,N/A,N/A,40,audio delay,1,left,no early,miss,0,0,258.4663,259.6663,259.6663,[],[],[],[],257.1525,257.8163,"[259.8814, 260.0725]",257.8163,258.4663
40,262.1981,267.9132,41,N/A,N/A,N/A,41,audio delay,1,right,early,hit,0,0,"[264.1032, 264.3662, 264.7003, 264.9905]","[264.3662, 264.7003, 264.9905, 266.1905]",266.1905,267.6905,[],[],[],262.6981,263.4532,"[264.2662, 264.6003, 264.8905, 266.3732, 266.5646, 266.7453, 266.9143, 267.0704, 267.21, 267.3555]",263.4532,264.1032
41,269.7322,274.5004,42,1.837,5.500,0.5000,42,audio delay,1,left,no early,hit,0,0,271.5687,272.7687,272.7687,274.2687,"[272.9604, 273.1291, 273.3335, 273.4527, 273.618]",271.5692,272.0692,270.2322,270.9187,[],270.9187,271.5687
42,276.3191,280.317,43,N/A,N/A,N/A,43,audio delay,1,left,no early,miss,0,0,278.3144,279.5144,279.5144,[],[],[],[],276.8191,277.6644,"[279.817, 279.9918, 280.1851]",277.6644,278.3144
43,282.33,286.1429,44,N/A,N/A,N/A,44,audio delay,1,left,no early,miss,0,0,284.198,285.398,285.398,[],[],[],[],282.83,283.548,"[285.6429, 285.8148]",283.548,284.198
44,287.9635,291.8576,45,1.866,5.500,0.5000,45,audio delay,1,left,no early,miss,0,0,289.8296,291.0296,291.0296,[],[],289.8295,290.3295,288.4635,289.1796,291.3576,289.1796,289.8296
45,293.6781,298.6448,46,N/A,N/A,N/A,46,audio delay,1,left,no early,hit,0,0,295.7119,296.9119,296.9119,298.4119,"[297.1048, 297.2436, 297.4225, 297.5627, 297.7177]",[],[],294.1781,295.0619,[],295.0619,295.7119
46,300.4772,304.2334,47,N/A,N/A,N/A,47,audio delay,1,left,no early,miss,0,0,302.3381,303.5381,303.5381,[],301.5292,[],[],300.9772,301.6881,"[303.7334, 303.9983, 304.1974]",301.6881,302.3381
