id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.9391,1,N/A,N/A,N/A,1,audio delay,1,left,no early,ignore,0,0,1.9391,3.1391,3.1391,3.1891,[],[],[],0.5,0.51,[],1.2891,1.9391
1,6.7409,11.6548,2,N/A,N/A,N/A,2,audio delay,1,left,no early,ignore,0,0,8.6548,9.8548,9.8548,9.9048,[],[],[],7.2409,7.2509,[],8.0048,8.6548
2,13.4493,18.3852,3,N/A,N/A,N/A,3,audio delay,1,left,no early,ignore,0,0,15.3852,16.5852,16.5852,16.6352,[],[],[],13.9493,13.9593,[],14.7352,15.3852
3,20.1785,25.1265,4,N/A,N/A,N/A,4,audio delay,1,left,no early,ignore,0,0,22.1265,23.3265,23.3265,23.3765,[],[],[],20.6785,20.6885,[],21.4765,22.1265
4,26.9189,31.7624,5,N/A,N/A,N/A,5,audio delay,1,left,no early,ignore,0,0,28.7624,29.9624,29.9624,30.0124,[],[],[],27.4189,27.4289,[],28.1124,28.7624
5,33.5561,37.6549,6,N/A,N/A,N/A,6,audio delay,1,left,no early,miss,1,0,35.4238,36.6238,36.6238,36.6738,37.497,[],[],34.0561,34.0661,37.1549,34.7738,35.4238
6,41.5384,46.8374,7,N/A,N/A,N/A,7,audio delay,1,left,early,hit,1,0,43.9212,45.1212,45.1212,45.1712,"[43.1712, 45.3373, 45.6217, 45.814, 45.9961, 46.3552, 46.5419]",[],[],42.0384,42.0484,[],"[42.9334, 43.2712]","[43.1712, 43.9212]"
7,49.2121,55.4526,8,N/A,N/A,N/A,8,audio delay,1,left,early,hit,0,1,51.9071,53.1071,53.1071,53.1571,"[50.2507, 50.4622, 51.1571, 53.9525, 54.1813, 54.3389, 54.9532]",[],[],49.7121,49.7221,[],"[50.5149, 51.2571]","[51.1571, 51.9071]"
8,57.6885,62.6416,9,N/A,N/A,N/A,9,audio delay,1,left,no early,hit,0,0,59.5063,60.7063,60.7063,60.7563,"[57.9497, 58.1619, 61.0866, 61.2775, 61.4699, 61.6414, 61.8316, 62.2047]",[],[],58.1885,58.1985,[],58.8563,59.5063
9,64.4405,69.892,10,N/A,N/A,N/A,10,audio delay,1,left,early,hit,0,0,67.02,68.22,68.22,68.27,"[65.5632, 65.7327, 66.27, 68.337, 68.5155, 68.7173, 68.8844, 69.0758, 69.2567, 69.6035, 69.8066]",[],[],64.9405,64.9505,[],"[65.7091, 65.8327, 66.37]","[65.7327, 66.27, 67.02]"
10,71.6943,76.0068,11,N/A,N/A,N/A,11,audio delay,1,right,early,miss,0,0,"[73.7563, 73.9229]","[73.8229, 75.1229]",75.1229,75.1729,"[72.7964, 73.0063, 73.8229, 75.5068, 75.6945, 75.9085]",[],[],72.1943,72.2043,[],"[72.9094, 73.1063]","[73.0063, 73.7563]"
11,77.8094,82.6602,12,N/A,N/A,N/A,12,audio delay,1,right,no early,ignore,0,0,79.6602,80.8602,80.8602,80.9102,[],[],[],78.3094,78.3194,[],79.0102,79.6602
12,84.4652,88.4092,13,N/A,N/A,N/A,13,audio delay,1,right,no early,ignore,0,0,86.3092,86.6092,86.6092,86.6592,[],[],[],84.9652,84.9752,[],85.6592,86.3092
13,90.2142,96.2019,14,N/A,N/A,N/A,14,audio delay,1,right,no early,hit,1,0,92.2688,93.4688,93.4688,93.5188,[],[],[],90.7142,90.7242,"[94.7018, 95.0904]",91.6188,92.2688
14,98.0086,103.4773,15,N/A,N/A,N/A,15,audio delay,1,right,no early,hit,1,0,100.0594,101.2594,101.2594,101.3094,[],[],[],98.5086,98.5186,"[101.9772, 102.2279, 102.3994]",99.4094,100.0594
15,105.2841,110.2654,16,N/A,N/A,N/A,16,audio delay,1,right,no early,ignore,0,0,107.2654,108.4654,108.4654,108.5154,[],[],[],105.7841,105.7941,[],106.6154,107.2654
