id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.8999,1,N/A,N/A,N/A,1,audio delay,1,left,early,miss,0,0,2.7645,3.9645,3.9645,4.0145,[],[],[],0.5,0.51,"[1.785, 1.8083, 2.0145, 4.3999, 4.6077]","[1.3988, 1.885, 2.1145]","[1.785, 2.0145, 2.7645]"
1,6.6901,10.8053,2,N/A,N/A,N/A,2,audio delay,1,left,no early,miss,0,0,8.597,9.797,9.797,9.847,[],[],[],7.1901,7.2001,"[10.3053, 10.5021]",7.947,8.597
2,12.5972,16.4853,3,N/A,N/A,N/A,3,audio delay,1,left,no early,miss,0,0,14.4238,15.6238,15.6238,15.6738,[],[],[],13.0972,13.1072,15.9853,13.7738,14.4238
3,18.2778,22.2987,4,N/A,N/A,N/A,4,audio delay,1,left,no early,miss,0,0,20.3159,21.5159,21.5159,21.5659,[],[],[],18.7778,18.7878,21.7987,19.6659,20.3159
4,25.6899,29.7831,5,N/A,N/A,N/A,5,audio delay,1,left,no early,miss,0,0,27.6221,28.8221,28.8221,28.8721,[],[],[],26.1899,26.1999,"[29.2831, 29.4643, 29.7015]",26.9721,27.6221
5,31.5757,36.4655,6,N/A,N/A,N/A,6,audio delay,1,left,no early,ignore,0,0,33.4655,34.6655,34.6655,34.7155,[],[],[],32.0757,32.0857,[],32.8155,33.4655
6,38.2608,43.2632,7,N/A,N/A,N/A,7,audio delay,1,left,no early,hit,0,0,40.1635,41.3635,41.3635,41.4135,"[41.7232, 41.9466, 42.1168, 42.3237, 42.5071, 42.6888, 42.9163]",[],[],38.7608,38.7708,[],39.5135,40.1635
7,45.0584,49.9473,8,N/A,N/A,N/A,8,audio delay,1,left,no early,hit,0,0,46.9173,48.1173,48.1173,48.1673,"[48.4073, 48.5428, 48.7376, 48.896, 49.0996]",[],[],45.5584,45.5684,[],46.2673,46.9173
8,51.7462,55.9105,9,N/A,N/A,N/A,9,audio delay,1,left,no early,hit,0,0,53.651,53.951,53.951,54.001,"[54.3705, 54.5284, 54.7115, 54.8924, 55.2688, 55.4697]",[],[],52.2462,52.2562,[],53.001,53.651
9,57.7104,63.7535,10,N/A,N/A,N/A,10,audio delay,1,left,early,hit,0,0,60.7641,61.9641,61.9641,62.0141,"[59.587, 59.8122, 60.0141, 62.2135, 62.4045, 62.5901, 62.7619, 62.9483, 63.3132]",[],[],58.2104,58.2204,[],"[59.0443, 59.687, 59.9122, 60.1141]","[59.587, 59.8122, 60.0141, 60.7641]"
10,65.5544,69.6489,11,N/A,N/A,N/A,11,audio delay,1,right,early,miss,0,0,67.769,68.969,68.969,69.019,"[66.6055, 66.7864, 67.019, 69.1489, 69.4036, 69.5955]",[],[],66.0544,66.0644,[],"[66.7273, 66.8864, 67.119]","[66.7864, 67.019, 67.769]"
11,71.4508,76.3386,12,N/A,N/A,N/A,12,audio delay,1,right,no early,hit,0,0,73.3388,74.5388,74.5388,74.5888,[],[],[],71.9508,71.9608,"[74.7986, 74.8344, 75.0486, 75.2303, 75.4099, 75.6032]",72.6888,73.3388
12,78.1427,83.1761,13,N/A,N/A,N/A,13,audio delay,1,right,no early,hit,0,0,80.179,81.379,81.379,81.429,[],[],[],78.6427,78.6527,"[81.6361, 81.8746, 82.0075]",79.529,80.179
