id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.8202,1,N/A,N/A,N/A,1,audio delay,1,left,no early,ignore,0,0,1.8202,3.0202,3.0202,3.0702,[],[],[],0.5,0.51,[],1.1702,1.8202
1,6.6192,11.6268,2,N/A,N/A,N/A,2,audio delay,1,left,no early,ignore,0,0,8.6268,9.8268,9.8268,9.8768,[],[],[],7.1192,7.1292,[],7.9768,8.6268
2,13.4258,18.3871,3,N/A,N/A,N/A,3,audio delay,1,left,no early,ignore,0,0,15.3871,16.5871,16.5871,16.6371,[],[],[],13.9258,13.9358,[],14.7371,15.3871
3,20.1855,24.1405,4,N/A,N/A,N/A,4,audio delay,1,left,no early,miss,0,1,22.009,23.209,23.209,23.259,[],[],[],20.6855,20.6955,24.0405,21.359,22.009
4,28.8214,34.2214,5,N/A,N/A,N/A,5,audio delay,1,left,no early,hit,0,1,30.8093,32.0093,32.0093,32.0593,"[32.7213, 32.9581, 33.1489, 33.3238, 33.5084, 33.7173, 33.9006, 34.1332]",[],[],29.3214,29.3314,[],30.1593,30.8093
5,36.0334,40.891,6,N/A,N/A,N/A,6,audio delay,1,left,no early,ignore,0,0,37.891,39.091,39.091,39.141,"[36.7145, 36.9564, 37.1701]",[],[],36.5334,36.5434,[],37.241,37.891
6,42.6898,47.7764,7,N/A,N/A,N/A,7,audio delay,1,left,early,ignore,0,0,44.7764,45.9764,45.9764,46.0264,"[43.7787, 44.0264]",[],[],43.1898,43.1998,[],"[43.9051, 44.1264]","[44.0264, 44.7764]"
7,49.5852,55.406,8,N/A,N/A,N/A,8,audio delay,1,left,early,hit,0,0,52.1899,53.3899,53.3899,53.4399,"[51.2319, 51.4399, 53.861, 54.0809, 54.305, 54.4519, 54.6521, 55.0255, 55.2289]",[],[],50.0852,50.0952,[],"[50.8381, 51.3319, 51.5399]","[51.2319, 51.4399, 52.1899]"
8,57.2535,62.2513,9,N/A,N/A,N/A,9,audio delay,1,left,no early,hit,0,0,59.2646,60.4646,60.4646,60.5146,"[58.2286, 58.4838, 60.7063, 60.8897, 61.121, 61.3186, 61.5194, 61.7137, 61.8881, 62.1277]",[],[],57.7535,57.7635,[],58.6146,59.2646
9,64.0532,69.6993,10,N/A,N/A,N/A,10,audio delay,1,left,early,hit,0,0,"[65.9503, 66.0575, 66.3665, 66.6089]","[65.9575, 66.2665, 66.5089, 67.8089]",67.8089,67.8589,"[65.9575, 66.0285, 66.2665, 66.5089, 68.1543, 68.3482, 68.5373, 68.7134, 68.8838, 69.0797, 69.2467, 69.4629]",[],[],64.5532,64.5632,[],65.3003,65.9503
10,73.8297,80.917,11,N/A,N/A,N/A,11,audio delay,1,right,early,hit,0,0,77.6922,78.8922,78.8922,78.9422,"[75.4465, 75.752, 76.0645, 76.2323, 76.2758]",[],[],74.3297,74.3397,"[76.5203, 76.7347, 76.9422, 79.372, 79.4279, 79.5999, 79.781, 79.9503]","[75.159, 75.5465, 75.852, 76.1645, 76.3323, 76.6203, 76.8347, 77.0422]","[75.4465, 75.752, 76.0645, 76.2323, 76.5203, 76.7347, 76.9422, 77.6922]"
11,82.722,87.8579,12,N/A,N/A,N/A,12,audio delay,1,right,no early,hit,0,0,84.708,85.908,85.908,85.958,[],[],[],83.222,83.232,"[86.3129, 86.4875, 86.7111, 86.8869]",84.058,84.708
12,89.6651,94.9568,13,N/A,N/A,N/A,13,audio delay,1,right,no early,hit,0,0,91.6709,92.8709,92.8709,92.9209,"[94.5723, 94.7813]",[],[],90.1651,90.1751,"[93.4118, 93.6247, 93.8047]",91.0209,91.6709
13,96.7641,103.1567,14,N/A,N/A,N/A,14,audio delay,1,right,early,ignore,0,0,100.1567,101.3567,101.3567,101.4067,"[99.1081, 99.1953, 99.4067]",[],[],97.2641,97.2741,"[98.5629, 98.8825]","[97.9554, 98.6629, 98.9825, 99.2081, 99.5067]","[98.5629, 98.8825, 99.1081, 99.4067, 100.1567]"
14,104.9665,111.2198,15,N/A,N/A,N/A,15,audio delay,1,right,early,ignore,0,0,108.2198,109.4198,109.4198,109.4698,107.4698,[],[],105.4665,105.4765,106.864,"[106.3536, 106.964, 107.5698]","[106.864, 107.4698, 108.2198]"
15,113.0331,119.3544,16,N/A,N/A,N/A,16,audio delay,1,right,early,ignore,0,0,115.7544,117.5544,117.5544,117.6044,"[114.7203, 115.0044]",[],[],113.5331,113.5431,[],"[114.4075, 114.8203, 115.1044]","[114.7203, 115.0044, 115.7544]"
16,121.165,125.0494,17,N/A,N/A,N/A,17,audio delay,1,right,early,miss,0,0,123.2121,124.4121,124.4121,124.4621,"[122.4621, 124.9494]",[],[],121.665,121.675,[],"[122.4471, 122.5621]","[122.4621, 123.2121]"
17,128.0597,133.1092,18,N/A,N/A,N/A,18,audio delay,1,right,no early,ignore,0,0,130.1092,131.3092,131.3092,131.3592,[],[],[],128.5597,128.5697,[],129.4592,130.1092
18,135.4242,140.068,19,N/A,N/A,N/A,19,audio delay,1,right,early,miss,1,0,138.1442,139.3442,139.3442,139.3942,"[137.1633, 137.3942, 139.968]",[],[],135.9242,135.9342,[],"[136.7054, 137.2633, 137.4942]","[137.1633, 137.3942, 138.1442]"
19,142.8796,148.1994,20,N/A,N/A,N/A,20,audio delay,1,right,no early,hit,0,0,144.8736,146.0736,146.0736,146.1236,[],[],[],143.3796,143.3896,"[146.6544, 146.8852, 147.0492]",144.2236,144.8736
20,150.0161,154.0035,21,N/A,N/A,N/A,21,audio delay,1,left,no early,miss,0,0,151.9962,153.1962,153.1962,153.2462,[],[],[],150.5161,150.5261,153.9035,151.3462,151.9962
21,155.9603,160.9798,22,N/A,N/A,N/A,22,audio delay,1,left,no early,ignore,0,0,157.9798,159.1798,159.1798,159.2298,[],[],[],156.4603,156.4703,[],157.3298,157.9798
22,162.7976,167.8968,23,N/A,N/A,N/A,23,audio delay,1,left,no early,hit,0,0,164.7338,165.9338,165.9338,165.9838,"[166.3518, 166.3844, 166.5552, 166.7302, 167.1143, 167.2974]",[],[],163.2976,163.3076,[],164.0838,164.7338
23,171.4856,175.4053,24,N/A,N/A,N/A,24,audio delay,1,left,no early,hit,0,0,173.3255,173.6255,173.6255,173.6755,"[173.8603, 174.0596, 174.2625, 174.4483, 174.6453, 175.0387, 175.2633]",[],[],171.9856,171.9956,[],172.6755,173.3255
24,177.224,183.3434,25,N/A,N/A,N/A,25,audio delay,1,left,early,hit,0,0,"[180.2617, 180.379]","[180.279, 181.579]",181.579,181.629,"[179.0507, 179.2951, 179.5117, 180.279, 181.7984, 182.0386, 182.2766, 182.4395, 182.6393]",[],[],177.724,177.734,[],"[178.5951, 179.1507, 179.3951, 179.6117]","[179.0507, 179.2951, 179.5117, 180.2617]"
