id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,5.9736,1,N/A,N/A,N/A,1,audio delay,1,right,early,ignore,0,0,"[2.0541, 2.7037, 2.9736]","[2.6037, 2.8736, 4.1736]",4.1736,4.2236,[],[],[],0.5,0.51,"[2.6037, 2.8736]",1.4041,2.0541
1,7.7661,12.9752,2,N/A,N/A,N/A,2,audio delay,1,right,early,hit,0,0,"[9.5924, 9.7988]","[9.6988, 10.9988]",10.9988,11.0488,[],[],[],8.2661,8.2761,"[9.6988, 11.4352, 11.7277, 11.8717, 12.2087]",8.9424,9.5924
2,14.7677,20.9373,3,N/A,N/A,N/A,3,audio delay,1,right,early,hit,0,0,17.7942,18.9942,18.9942,19.0442,[],[],[],15.2677,15.2777,"[16.5941, 16.8259, 17.0442, 19.3973, 19.5811, 19.8712, 20.026, 20.2116]","[16.0825, 16.6941, 16.9259, 17.1442]","[16.5941, 16.8259, 17.0442, 17.7942]"
3,23.0724,28.9372,4,N/A,N/A,N/A,4,audio delay,1,right,early,hit,0,0,"[24.9862, 25.1628]","[25.0628, 26.9628]",26.9628,27.0128,[],[],[],23.5724,23.5824,"[25.0628, 27.3972, 27.6065, 27.7998, 27.9823]",24.3362,24.9862
4,30.731,35.714,5,N/A,N/A,N/A,5,audio delay,1,right,no early,hit,0,0,32.6579,33.8579,33.8579,33.9079,[],[],[],31.231,31.241,"[34.174, 34.3681, 34.5836, 34.7587]",32.0079,32.6579
5,37.51,43.9741,6,N/A,N/A,N/A,6,audio delay,1,left,early,ignore,0,0,"[39.5405, 40.0895, 40.3741]","[39.9895, 40.2741, 42.1741]",42.1741,42.2241,[],[],[],38.01,38.02,"[39.9895, 40.2741]",38.8905,39.5405
6,45.7699,50.9326,7,N/A,N/A,N/A,7,audio delay,1,left,early,miss,0,0,48.8374,50.0374,50.0374,50.0874,[],[],[],46.2699,46.2799,"[47.5768, 47.7769, 48.0874, 50.4326, 50.6248]","[47.0134, 47.6768, 47.8769, 48.1874]","[47.5768, 47.7769, 48.0874, 48.8374]"
7,52.7301,56.877,8,N/A,N/A,N/A,8,audio delay,1,left,no early,miss,0,0,54.5747,55.7747,55.7747,55.8247,[],[],[],53.2301,53.2401,"[56.377, 56.6259]",53.9247,54.5747
8,58.6751,63.4901,9,N/A,N/A,N/A,9,audio delay,1,left,no early,ignore,0,0,60.4901,61.6901,61.6901,61.7401,[],[],[],59.1751,59.1851,[],59.8401,60.4901
9,65.289,70.1334,10,N/A,N/A,N/A,10,audio delay,1,left,no early,ignore,0,0,67.1334,68.3334,68.3334,68.3834,[],[],[],65.789,65.799,[],66.4834,67.1334
