id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,5.0226,1,N/A,N/A,N/A,1,audio delay,1,left,no early,hit,0,0,1.8395,3.0395,3.0395,3.0895,"[3.4776, 4.345]",[],[],0.5,0.51,[],1.1895,1.8395
1,6.832,11.7955,2,N/A,N/A,N/A,2,audio delay,1,left,no early,ignore,0,0,8.7955,9.9955,9.9955,10.0455,[],[],[],7.332,7.342,[],8.1455,8.7955
2,13.5911,18.7177,3,N/A,N/A,N/A,3,audio delay,1,left,no early,hit,0,0,15.5429,16.7429,16.7429,16.7929,"[17.1727, 18.2453, 18.4422]",[],[],14.0911,14.1011,[],14.8929,15.5429
3,20.5107,25.409,4,N/A,N/A,N/A,4,audio delay,1,left,no early,hit,0,0,22.4279,23.6279,23.6279,23.6779,"[23.864, 24.0056, 24.199, 24.3456, 24.5062, 24.6769, 25.0217, 25.2044]",[],[],21.0107,21.0207,[],21.7779,22.4279
4,27.4278,32.9978,5,N/A,N/A,N/A,5,audio delay,1,left,early,ignore,0,0,29.9978,31.1978,31.1978,31.2478,"[28.9938, 29.0726, 29.2478]",[],[],27.9278,27.9378,[],"[28.6694, 29.0938, 29.3478]","[28.9938, 29.2478, 29.9978]"
5,34.7902,38.8835,6,N/A,N/A,N/A,6,audio delay,1,left,no early,miss,0,0,36.6587,37.8587,37.8587,37.9087,[],[],[],35.2902,35.3002,38.3835,36.0087,36.6587
6,40.6793,45.6918,7,N/A,N/A,N/A,7,audio delay,1,left,no early,hit,0,0,42.544,43.744,43.744,43.794,"[44.1468, 44.2985, 44.3588, 44.3937, 44.5439, 44.8891, 45.0695, 45.2377, 45.4266]",[],[],41.1793,41.1893,[],41.894,42.544
7,47.4887,53.485,8,N/A,N/A,N/A,8,audio delay,1,right,early,hit,0,0,50.4845,51.6845,51.6845,51.7345,"[49.1142, 49.1991, 49.3639, 49.5416, 49.7345, 52.6521, 52.8021]",[],[],47.9887,47.9987,"[51.94, 52.1023, 52.2762, 52.443]","[48.8067, 49.2142, 49.4639, 49.6416, 49.8345]","[49.1142, 49.3639, 49.5416, 49.7345, 50.4845]"
8,55.2812,60.3421,9,N/A,N/A,N/A,9,audio delay,1,right,no early,hit,0,0,57.2995,58.4995,58.4995,58.5495,59.9368,[],[],55.7812,55.7912,"[58.7971, 58.898, 59.2404, 59.4125, 59.5733]",56.6495,57.2995
9,62.1444,69.6889,10,N/A,N/A,N/A,10,audio delay,1,right,early,hit,0,0,"[64.1589, 65.8159, 66.016]","[65.7159, 65.916, 67.816]",67.816,67.866,[],[],[],62.6444,62.6544,"[65.7159, 65.916, 68.1439, 68.2969, 68.5146, 68.6729]",63.5089,64.1589
