id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,6.0633,1,N/A,N/A,N/A,1,audio delay,1,right,early,hit,0,0,"[1.9413, 2.2345, 2.5117, 2.6756, 2.8862, 3.0622]","[2.1345, 2.4117, 2.5756, 2.7862, 2.9622, 4.2622]",4.2622,4.3122,[],[],[],0.5,0.51,"[2.1345, 2.4117, 2.5756, 2.7862, 2.9622, 4.5183, 4.6926, 4.8827, 5.0311, 5.4251]",1.2913,1.9413
1,7.8559,13.0383,2,N/A,N/A,N/A,2,audio delay,1,right,early,hit,0,0,10.0616,11.2616,11.2616,11.3116,[],[],[],8.3559,8.3659,"[9.3116, 11.4933, 11.6971, 11.8923, 12.0327, 12.2478]","[9.0472, 9.4116]","[9.3116, 10.0616]"
2,14.829,20.0925,3,N/A,N/A,N/A,3,audio delay,1,right,early,hit,0,0,"[16.6817, 16.8704, 17.0306, 17.1723]","[16.7704, 16.9306, 17.0723, 18.3723]",18.3723,18.4223,[],[],[],15.329,15.339,"[16.7704, 16.9306, 17.0723, 18.5475, 18.6814, 18.8488, 19.0065]",16.0317,16.6817
3,21.8849,27.638,4,N/A,N/A,N/A,4,audio delay,1,right,early,hit,0,0,24.7024,25.9024,25.9024,25.9524,[],[],[],22.3849,22.3949,"[23.5544, 23.7441, 23.9524, 26.093, 26.2128, 26.4028, 26.5673]","[23.2657, 23.6544, 23.8441, 24.0524]","[23.5544, 23.7441, 23.9524, 24.7024]"
4,29.4292,33.3337,5,N/A,N/A,N/A,5,audio delay,1,left,no early,miss,0,0,31.395,32.595,32.595,32.645,[],[],[],29.9292,29.9392,"[32.8337, 33.0319]",30.745,31.395
5,35.1267,40.0568,6,N/A,N/A,N/A,6,audio delay,1,left,no early,ignore,0,0,37.0568,38.2568,38.2568,38.3068,[],[],[],35.6267,35.6367,[],36.4068,37.0568
6,41.8533,46.9704,7,N/A,N/A,N/A,7,audio delay,1,left,early,miss,0,0,44.4191,46.2191,46.2191,46.2691,[],[],[],42.3533,42.3633,"[43.4381, 43.6691, 46.4704, 46.6512]","[43.1293, 43.5381, 43.7691]","[43.4381, 43.6691, 44.4191]"
7,48.768,53.656,8,N/A,N/A,N/A,8,audio delay,1,left,no early,ignore,0,0,50.656,51.856,51.856,51.906,[],[],[],49.268,49.278,[],50.006,50.656
8,55.4531,60.28,9,N/A,N/A,N/A,9,audio delay,1,left,early,miss,0,0,"[57.4624, 57.5732, 58.1134]","[57.4732, 58.0134, 59.3134]",59.3134,59.3634,[],[],[],55.9531,55.9631,"[57.4732, 58.0134, 59.78]",56.8124,57.4624
9,62.0787,67.0113,10,N/A,N/A,N/A,10,audio delay,1,left,no early,ignore,0,0,64.0113,65.2113,65.2113,65.2613,[],[],[],62.5787,62.5887,[],63.3613,64.0113
