id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.1366,1,N/A,N/A,N/A,1,audio delay,1,left,no early,miss,0,0,1.9826,3.1826,3.1826,3.2326,[],[],[],0.5,0.51,"[3.6366, 3.947]",1.3326,1.9826
1,6.4149,11.2563,2,N/A,N/A,N/A,2,audio delay,1,left,no early,ignore,0,0,8.2563,9.4563,9.4563,9.5063,[],[],[],6.9149,6.9249,[],7.6063,8.2563
2,13.0495,17.9057,3,N/A,N/A,N/A,3,audio delay,1,left,no early,ignore,0,0,14.9057,16.1057,16.1057,16.1557,[],[],[],13.5495,13.5595,[],14.2557,14.9057
3,19.697,24.7316,4,N/A,N/A,N/A,4,audio delay,1,left,no early,ignore,0,0,21.7316,22.9316,22.9316,22.9816,[],[],[],20.197,20.207,[],21.0816,21.7316
4,26.5254,31.4196,5,N/A,N/A,N/A,5,audio delay,1,left,no early,ignore,0,0,28.4196,29.6196,29.6196,29.6696,[],[],[],27.0254,27.0354,[],27.7696,28.4196
5,33.2128,38.197,6,N/A,N/A,N/A,6,audio delay,1,left,no early,ignore,1,0,35.157,36.357,36.357,36.407,[],[],[],33.7128,33.7228,[],34.507,35.157
6,39.9931,45.4891,7,N/A,N/A,N/A,7,audio delay,1,left,early,miss,1,0,43.3336,44.5336,44.5336,44.5836,"[40.8932, 41.284, 41.4793, 41.6365, 42.1762, 42.3883, 42.5836]",[],[],40.4931,40.5031,"[44.9891, 45.2027]","[41.3472, 41.5793, 41.7365, 42.2762, 42.4883, 42.6836]","[41.4793, 41.6365, 42.1762, 42.3883, 42.5836, 43.3336]"
7,47.2852,52.1634,8,N/A,N/A,N/A,8,audio delay,1,left,no early,hit,1,0,49.1981,49.4981,49.4981,49.5481,"[50.6633, 51.0037, 51.1966, 51.3494, 52.1152]",[],[],47.7852,47.7952,51.8865,48.5481,49.1981
8,54.5543,59.4368,9,N/A,N/A,N/A,9,audio delay,1,left,no early,hit,1,0,56.4533,57.6533,57.6533,57.7033,"[57.9367, 58.1305, 58.3012, 58.4779, 58.6733]",[],[],55.0543,55.0643,[],55.8033,56.4533
9,61.2361,66.8051,10,N/A,N/A,N/A,10,audio delay,1,left,early,hit,0,0,63.7179,64.9179,64.9179,64.9679,"[61.4125, 61.6108, 62.9679, 65.2651, 65.4776, 65.6512, 65.8268]",[],[],61.7361,61.7461,[],"[62.5103, 63.0679]","[62.9679, 63.7179]"
10,68.6096,74.6742,11,N/A,N/A,N/A,11,audio delay,1,left,early,hit,0,0,71.6347,72.8347,72.8347,72.8847,"[68.9792, 69.1879, 69.3927, 70.5825, 70.7103, 70.8847, 73.1342, 73.364, 73.5385, 73.7268]",[],[],69.1096,69.1196,[],"[69.9822, 70.6825, 70.8103, 70.9847]","[70.5825, 70.7103, 70.8847, 71.6347]"
