id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,6.0805,1,N/A,N/A,N/A,1,audio delay,1,left,early,hit,0,0,2.9992,4.1992,4.1992,4.2492,"[2.0831, 4.5485, 4.6769, 4.82, 4.9575, 5.149, 5.3101, 5.4691, 5.6246]",[],[],0.5,0.51,"[1.6621, 1.838, 2.2492]","[1.4003, 1.7621, 1.938, 2.1831, 2.3492]","[1.6621, 1.838, 2.0831, 2.2492, 2.9992]"
1,7.875,13.1424,2,N/A,N/A,N/A,2,audio delay,1,left,early,hit,0,0,"[9.7115, 10.2379]","[10.1379, 11.4379]",11.4379,11.4879,"[11.6104, 11.8385, 11.9775, 12.1333, 12.2527, 12.383, 12.5194]",[],[],8.375,8.385,10.1379,9.0615,9.7115
2,14.9323,20.3062,3,N/A,N/A,N/A,3,audio delay,1,left,early,hit,0,0,17.44,18.64,18.64,18.69,"[16.69, 18.7742, 18.8756, 19.031, 19.1874, 19.3438, 19.5471, 19.6885]",[],[],15.4323,15.4423,[],"[16.2007, 16.79]","[16.69, 17.44]"
3,22.0955,27.0199,4,N/A,N/A,N/A,4,audio delay,1,left,no early,hit,0,0,24.1192,25.3192,25.3192,25.3692,"[25.4879, 25.5831, 25.6493, 25.807, 25.9784, 26.1609, 26.3184, 26.4951, 26.6495]",[],[],22.5955,22.6055,[],23.4692,24.1192
4,28.8169,33.4748,5,N/A,N/A,N/A,5,audio delay,1,left,no early,hit,0,0,30.6836,31.8836,31.8836,31.9336,"[31.9428, 32.0971, 32.3149, 32.5006, 32.6979]",[],[],29.3169,29.3269,[],30.0336,30.6836
5,35.2683,39.9995,6,N/A,N/A,N/A,6,audio delay,1,left,no early,hit,0,0,37.1372,38.3372,38.3372,38.3872,"[38.4675, 38.7008, 38.8636, 39.0896, 39.2307, 39.3626]",[],[],35.7683,35.7783,[],36.4872,37.1372
6,41.7938,45.6277,7,N/A,N/A,N/A,7,audio delay,1,right,no early,miss,0,0,43.7439,44.9439,44.9439,44.9939,"[45.1277, 45.2212]",[],[],42.2938,42.3038,45.4348,43.0939,43.7439
7,47.6313,51.6958,8,N/A,N/A,N/A,8,audio delay,1,right,no early,miss,0,0,49.6152,50.8152,50.8152,50.8652,51.1958,[],[],48.1313,48.1413,"[51.3598, 51.5286]",48.9652,49.6152
8,53.4944,58.7086,9,N/A,N/A,N/A,9,audio delay,1,right,early,miss,0,0,"[55.5052, 56.2833, 56.5032]","[56.1833, 56.4032, 57.7032]",57.7032,57.7532,"[58.2086, 58.5894]",[],[],53.9944,54.0044,"[56.1833, 56.4032]",54.8552,55.5052
9,60.776,65.2309,10,N/A,N/A,N/A,10,audio delay,1,right,early,miss,0,0,"[62.7068, 63.2995]","[63.1995, 64.4995]",64.4995,64.5495,"[64.7309, 64.8362]",[],[],61.276,61.286,"[63.1995, 64.9996, 65.1985]",62.0568,62.7068
10,67.029,70.9032,11,N/A,N/A,N/A,11,audio delay,1,right,no early,miss,0,0,68.8862,70.0862,70.0862,70.1362,70.4032,[],[],67.529,67.539,"[70.5363, 70.7154]",68.2362,68.8862
11,72.7037,76.6565,12,N/A,N/A,N/A,12,audio delay,1,right,no early,miss,0,0,74.7423,75.9423,75.9423,75.9923,76.1565,[],[],73.2037,73.2137,76.3336,74.0923,74.7423
12,78.9626,83.9127,13,N/A,N/A,N/A,13,audio delay,1,right,no early,hit,1,0,80.9631,82.1631,82.1631,82.2131,[],[],[],79.4626,79.4726,"[82.4126, 82.5297, 82.6758, 82.8122, 82.9631]",80.3131,80.9631
