id,start_time,stop_time,trial,photostim_onset,photostim_power,photostim_duration,trial_uid,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,photostim_start_times,photostim_stop_times,presample_start_times,presample_stop_times,right_lick_times,sample_start_times,sample_stop_times
0,0.0,4.232,1,N/A,N/A,N/A,1,audio delay,1,right,no early,miss,0,0,2.0101,3.2101,3.2101,3.2601,3.732,[],[],0.5,0.51,3.9355,1.3601,2.0101
1,7.0051,12.0463,2,N/A,N/A,N/A,2,audio delay,1,right,no early,hit,0,0,8.8833,10.0833,10.0833,10.1333,[],[],[],7.5051,7.5151,10.5103,8.2333,8.8833
2,13.8434,17.9599,3,N/A,N/A,N/A,3,audio delay,1,right,no early,miss,0,0,15.7398,16.9398,16.9398,16.9898,17.4599,[],[],14.3434,14.3534,17.6597,15.0898,15.7398
3,19.7506,25.2115,4,N/A,N/A,N/A,4,audio delay,1,right,no early,ignore,0,0,21.6115,23.4115,23.4115,23.4615,[],[],[],20.2506,20.2606,[],20.9615,21.6115
4,27.0022,31.3652,5,N/A,N/A,N/A,5,audio delay,1,right,no early,miss,0,0,29.0451,30.2451,30.2451,30.2951,30.8652,[],[],27.5022,27.5122,[],28.3951,29.0451
5,33.1577,38.1848,6,N/A,N/A,N/A,6,audio delay,1,right,no early,ignore,0,0,35.1848,36.3848,36.3848,36.4348,[],[],[],33.6577,33.6677,[],34.5348,35.1848
6,39.9804,45.014,7,N/A,N/A,N/A,7,audio delay,1,right,no early,ignore,0,0,42.014,43.214,43.214,43.264,[],[],[],40.4804,40.4904,[],41.364,42.014
7,46.8099,51.8445,8,N/A,N/A,N/A,8,audio delay,1,right,no early,ignore,0,0,48.8445,50.0445,50.0445,50.0945,[],[],[],47.3099,47.3199,[],48.1945,48.8445
8,53.6405,58.6961,9,N/A,N/A,N/A,9,audio delay,1,right,no early,ignore,0,0,55.6961,56.8961,56.8961,56.9461,[],[],[],54.1405,54.1505,[],55.0461,55.6961
9,60.4931,65.5063,10,N/A,N/A,N/A,10,audio delay,1,right,no early,ignore,0,0,62.5063,63.7063,63.7063,63.7563,[],[],[],60.9931,61.0031,[],61.8563,62.5063
